"id";"name";"link";"created_at";"updated_at"
127;"angular-highlightjs";"https://cdnjs.cloudflare.com/ajax/libs/angular-highlightjs/0.7.1/angular-highlightjs.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
128;"angular-hotkeys";"https://cdnjs.cloudflare.com/ajax/libs/angular-hotkeys/1.7.0/hotkeys.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
129;"angular-http-auth";"https://cdnjs.cloudflare.com/ajax/libs/angular-http-auth/1.5.0/http-auth-interceptor.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
130;"angular-i18n";"https://cdnjs.cloudflare.com/ajax/libs/angular-i18n/1.7.7/angular-locale_en-us.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
131;"angular-image-spinner";"https://cdnjs.cloudflare.com/ajax/libs/angular-image-spinner/0.1.5/angular-image-spinner.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
132;"angular-img-cropper";"https://cdnjs.cloudflare.com/ajax/libs/angular-img-cropper/1.1.0/angular-img-cropper.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
133;"angular-imgcache.js";"https://cdnjs.cloudflare.com/ajax/libs/angular-imgcache.js/0.1.0/angular-imgcache.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
134;"angular-input-masks";"https://cdnjs.cloudflare.com/ajax/libs/angular-input-masks/4.3.0/angular-input-masks.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
135;"angular-inview";"https://cdnjs.cloudflare.com/ajax/libs/angular-inview/3.0.0/angular-inview.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
136;"angular-js-bootstrap-datetimepicker";"https://cdnjs.cloudflare.com/ajax/libs/angular-js-bootstrap-datetimepicker/2.5.1/datetimepicker.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
137;"angular-ladda";"https://cdnjs.cloudflare.com/ajax/libs/angular-ladda/0.4.3/angular-ladda.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
138;"angular-leaflet-directive";"https://cdnjs.cloudflare.com/ajax/libs/angular-leaflet-directive/0.10.0/angular-leaflet-directive.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
139;"angular-linkify";"https://cdnjs.cloudflare.com/ajax/libs/angular-linkify/2.0.0/angular-linkify.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
140;"angular-loading-bar";"https://cdnjs.cloudflare.com/ajax/libs/angular-loading-bar/0.9.0/loading-bar.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
141;"angular-local-storage";"https://cdnjs.cloudflare.com/ajax/libs/angular-local-storage/0.7.1/angular-local-storage.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
142;"angular-mapboxgl-directive";"https://cdnjs.cloudflare.com/ajax/libs/angular-mapboxgl-directive/0.46.0/angular-mapboxgl-directive.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
143;"angular-material-data-table";"https://cdnjs.cloudflare.com/ajax/libs/angular-material-data-table/0.10.10/md-data-table.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
144;"angular-material-icons";"https://cdnjs.cloudflare.com/ajax/libs/angular-material-icons/0.7.1/angular-material-icons.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
145;"angular-material";"https://cdnjs.cloudflare.com/ajax/libs/angular-material/1.1.12/angular-material.min.css";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
146;"angular-materialize";"https://cdnjs.cloudflare.com/ajax/libs/angular-materialize/0.2.2/angular-materialize.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
147;"angular-md5";"https://cdnjs.cloudflare.com/ajax/libs/angular-md5/0.1.10/angular-md5.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
148;"angular-media-queries";"https://cdnjs.cloudflare.com/ajax/libs/angular-media-queries/0.6.1/match-media.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
149;"angular-messages";"https://cdnjs.cloudflare.com/ajax/libs/angular-messages/1.7.7/angular-messages.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
150;"angular-mixpanel";"https://cdnjs.cloudflare.com/ajax/libs/angular-mixpanel/1.1.2/angular-mixpanel.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
151;"angular-mocks";"https://cdnjs.cloudflare.com/ajax/libs/angular-mocks/1.7.7/angular-mocks.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
152;"angular-moment-picker";"https://cdnjs.cloudflare.com/ajax/libs/angular-moment-picker/0.10.2/angular-moment-picker.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
153;"angular-moment";"https://cdnjs.cloudflare.com/ajax/libs/angular-moment/1.3.0/angular-moment.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
154;"angular-morris";"https://cdnjs.cloudflare.com/ajax/libs/angular-morris/1.3.0/angular-morris.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
155;"angular-motion";"https://cdnjs.cloudflare.com/ajax/libs/angular-motion/0.4.4/angular-motion.min.css";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
156;"angular-mousewheel";"https://cdnjs.cloudflare.com/ajax/libs/angular-mousewheel/1.0.5/mousewheel.min.js";"2019-02-07 15:12:57";"2019-02-07 15:12:57"
